12.975,16.95,0
8.475,16.75,0
5.275,15.45,0
4.325,12.3,0
4.125,9.6,0
4.175,7.45,0
7.725,4,0
11.575,2.6,0
15.925,1.75,0
22.125,1.25,0
27.275,1.85,0
29.575,4.85,0
29.975,7.95,0
28.975,11.55,0
25.425,15.15,0
20.925,16.75,0
18.075,17.05,0
16.075,17.05,0
8.525,15.55,0
7.325,13.2,0
6.975,11.15,0
8.725,7.7,0
11.775,5.3,0
15.575,3.7,0
20.525,3.35,0
23.575,4.4,0
23.775,8.85,0
22.275,11.9,0
19.275,14.2,0
13.825,15.15,0
10.875,15,0
29.375,16.45,0
33.575,14.9,0
37.025,10.75,0
37.275,7.05,0
35.975,4.25,0
33.875,2.55,0
3.275,17.95,0
2.625,17.15,0
2.025,13.65,0
2.025,10.45,0
2.325,6.15,0
4.425,3.3,0
7.525,1.3,0
15.275,12.65,1
14.325,12.85,1
12.725,12.85,1
11.075,12.4,1
10.725,10.05,1
14.575,7.5,1
17.575,5.45,1
20.375,5.95,1
20.575,8.35,1
19.325,11.4,1
17.125,11.1,1
18.625,8.6,1
17.225,8.2,1
15.225,10.35,1
12.425,10.25,1
11.775,8.65,1
16.775,12.15,1
15.625,6.9,1
13.075,8.95,1
15.575,9,1
17.425,9.8,1
18.775,7.15,1
13.725,11.1,1
18.875,10,1
